Question,Solution,,,,,,,,
"10. A body of mass 0.40 kg moving initially with a constant speed of 10 ms-1 to the north is subject to a constant force of 8.0 N directed towards the south for 30 s. Take the instant the force is applied to be t = 0, the position of the body at that time to be x = 0, and predict its position at t = -5 s, 25 s, 100 s.","Given,
Mass of the body = 0.40 kg
Initial velocity, u = 10 m/s
Force, f = -8 N (retarding force)
Using the equation S = ut + (0.5) at^2
(a) Position at the time t = – 5 s
The force starts acting on the body from t = 0 s
So the acceleration of the body when the time is – 5 s is 0
S1= (10)(-5) + (0.5) (0) (-5)^2 = – 50 m
(b) Position at the time t = 25 s
The acceleration of the body due to the force acting in the opposite direction
Acceleration, a = F/a = -8 /0.4 = -20 ms^(-2)
S2= (10)(25) + (0.5) (-20) (25)^2 = – 6000 m
(c) Position at the time t = 100 s
For the first 30 sec, the body will move under the retardation of the force, and after that, the speed will remain constant.
Therefore, distance covered in 30 sec
S3= (10)(30) + (0.5)(-20)(30^2)
= 300 – 9000 = – 8700m
The speed after 30 sec is
v = u + at
v = 10 – (20 x 30) = 590 m/s
The distance covered in the next 70 sec is
S4 = – 590 x 70 + (0.5) (0) (70)^2 = – 41300 m
Therefore the position after 100 sec = S3 + S4 = – 8700 – 41300 = – 50000m",,,,,,,,
"11. A truck starts from rest and accelerates uniformly at 2.0 ms^(-2). At t = 10 s, a stone is dropped by a person standing on the top of the truck (6 m high from the ground). What are the (a) velocity, and (b) acceleration of the stone at t = 11s? (Neglect air resistance.)","Initial velocity, u = 0
Acceleration, a = 2 ms^(-2),
t=10 s
Using equation, v = u + at, we get
v = 0 + 2 x 10 = 20 m/s
The final velocity, v = 20 m/s
At time, t = 11 sec, the horizontal component of the velocity in the absence of the air resistance remains unchanged
Vx =20 m/s
The vertical component of the velocity is given by the equation
Vy = u + ayt
Here t = 11 – 10 = 1s and ay= a = 10 m/s
Therefore, the resultant velocity v of the stone is
v = ( vx2 + vy2)^0.5
v = (20 2 + 10 2)^0.5
v = 22.36 m/s
tan θ = vy/vx = 10/20 = 0.5
θ = tan^(-1) (0.5 ) = 26. 56 degrees from the horizontal
(b) When the stone is dropped from the truck, the horizontal force on the stone is zero. The only acceleration of the stone is that due to gravity which is equal to 10 m/s^2 and it acts vertically downwards.",,,,,,,,
"12. A bob of mass 0.1 kg hung from the ceiling of a room by a string 2 m long is set into oscillation. The speed of the bob at its mean position is 1 ms^(-1). What is the trajectory of the bob if the string is cut when the bob is (a) at one of its extreme positions, (b) at its mean position?","(a) When the bob is at one of its extreme positions, the velocity is zero. So, if the string is cut the bob will fall vertically downward under the force of its weight F = mg.
(b) At its mean position the bob has a horizontal velocity. If the string is cut, the bob will behave like a projectile and will fall on the ground after taking a parabolic path.",,,,,,,,
"13. A man of mass 70 kg, stands on a weighing machine in a lift, which is moving
(a) upwards with a uniform speed of 10 ms^(-1).
(b) downwards with a uniform acceleration of 5 ms^(-2).
(c) upwards with a uniform acceleration of 5 ms^(-2).
What would be the readings on the scale in each case?
(d) What would be the reading if the lift mechanism failed and it hurtled down freely under gravity?","Mass of the man, m = 70 kg,
g = 10 m/s^2
The weighing machine in each case measures the reaction R, i.e., the apparent weight.
(a) When the lift moves upwards with a uniform speed of 10 m/s, it’s acceleration= 0.
R = mg = 70 x 10 = 700 N
(b) Lift moving downwards with a = 5 ms^(-2)
Using Newton’s second law of motion, the equation of motion can be written as
R+mg = ma
R = m (g – a) = 70 (10 – 5) = 350 N
(c) Lift moving upwards with a = 5 ms^(-2)
R = m (g + a) = 70 (10 + 5) = 1050 N
(d) If the lift were to come down freely under gravity, downward . a = g
R = m(g -a) = m(g – g) = 0
The man will be in a state of weightlessness",,,,,,,,
16. Two masses 8 kg and 12 kg are connected at the two ends of a light inextensible string that goes over a frictionless pulley. Find the acceleration of the masses and the tension in the string when the masses are released.,"Given,
Smaller mass, m1 = 8 kg
Larger mass, m2 = 12 kg
Tension in the string = T
The heavier mass m2 will move downwards and the smaller mass m1 will move upwards.
Applying Newton’s second law,
For mass m1:
T – m1g = m1a —– (1)
For mass m2:
m2g – T = m2a ——(2)
Add (1) and (2)
(m2 – m1) g = (m1 + m2) a
a = (m2 – m1) g/ (m1 + m2)
=[ (12 – 8)/(12 + 8)] x 10 = (4 /20) x 10= 2m/s
Therefore, acceleration of the mass is 2 m/s^2
Substituting this value of acceleration in equation (ii) we get
m2g – T = m2a
m2g – T = m2 [ (m2 – m1) g/ (m1 + m2) ]

= 2m1m2g/(m1 + m2)
T = 2 x 12 x 8 x 10/ (12 + 8)
T = 96 N
Therefore, the tension on the string is 96 N",,,,,,,,
"17. A nucleus is at rest in the laboratory frame of reference. Show that if it disintegrates into two smaller nuclei, the products must move in opposite directions.","Let m1, m2 be the masses of the two daughter nuclei and v1,v2 be their respective velocities of the daughter nuclei. Let m be the mass of the parent nucleus.
Total linear momentum after disintegration = m1v1 +m2 v2.
Before disintegration, the nucleus is at rest. Therefore, its linear momentum before disintegration is zero.
Applying the law of conservation of momentum,
Total linear momentum before disintegration = Total linear momentum after disintegration
0 = m1v1 + m2v2
v1=-m2v2/m1
The negative sign indicates v1 and v2 are in opposite directions.",,,,,,,,
"18. Two billiard balls, each of mass 0.05 kg, moving in opposite directions with speed 6 ms^(-1) collide and rebound with the same speed. What is the impulse imparted to each ball due to the other?","Mass of each ball = 0.05 kg
Initial velocity of each ball = 6 m/s
The initial momentum of each ball before the collision
= 0.05 x 6 = 0.3 kg m/s
After the collision, the balls change in the direction of motion without a change in the magnitude of the velocity
Final momentum after collision of the first ball = – 0.05 x 6 = – 0.3 kg m/s
Final momentum after collision of the second ball = 0.3 kg m/s
Impulse imparted to the first ball = (-0.3) – (0.3) = – 0.6 kg m/s
Impulse imparted to the second ball = (0.3) – (-0.3) = 0.6 kg m/s
The two impulses are opposite in direction.",,,,,,,,
19. A shell of mass 0.020 kg is fired by a gun of mass 100 kg. If the muzzle speed of the shell is 80 ms^(-1).What is the recoil speed of the gun?,"Mass of the shell, m = 0.020 kg
Mass of the gun, M = 100 Kg
Speed of the shell = 80 m/s
The initial velocity of the shell and the gun is zero. So, the initial momentum of the system is zero.
Applying the law of conservation of momentum, the initial momentum is equal to the final momentum.
So,
0 = mv – MV
Recoil speed of the gun, v = mv/M
v = (0.020 x 80)/100
v = 0.016 m/s",,,,,,,,
"21. A stone of mass 0.25 kg tied to the end of a string is whirled round in a circle of radius 1.5 m with a speed of 40 rev./min in a horizontal plane. What is the tension in the string? What is the maximum speed with which the stone can be whirled around if the string can withstand a maximum tension of 200 N?
","Mass of the stone = 0.25 kg
Radius, r = 1.5 m
Number of revolution in a second, n= 40/60 = (⅔) rev/sec
The angular velocity, ω = 2πn = 2 x 3.14 x (⅔)
The tension on the string provides the necessary centripetal force
T = mω2r
T = 0.25 x 1.5 x [2 x 3.14 x (⅔)]^2
= 6.57 N
Maximum tension on the string, Tmax= 200 N
Tmax= m(vmax)^2/r
(vmax)^2 = (Tmax  x r)/m
= ( 200 x 1.5)/0.25 = 1200
vmax = 34. 6 m/s
Therefore, the maximum speed of the stone is 34.64 m/s",,,,,,,,
"23. Explain why
(a) a horse cannot pull a cart and run in empty space
(b) passengers are thrown forward from their seats when a speeding bus stops suddenly
(c) it is easier to pull a lawnmower than to push it
(d) a cricketer moves his hands backwards while holding a catch","The horse pushes the ground with a certain force when it pulls the cart. By applying the third law of motion, the ground will exert an equal and opposite reaction force upon the feet of the horse. This causes the horse to move forward. In empty space, the horse will not experience a reaction force. Therefore, the horse cannot pull the cart in empty space.
Due to inertia of motion. When a bus stops all of a sudden, the lower part of a person’s body that is in contact with the seat comes to rest suddenly but the upper part will continue to be in motion. As a result, the person’s upper half of the body is thrown forward in the direction of the motion of the bus.
When the lawnmower is pulled, the vertical component of the applied force acts upwards. This reduces the effective weight of the lawnmower. When the lawn mower is pushed, the vertical component acts in the direction of the weight of the mower. Therefore, there is an increase in the weight of the mower. So, it is easier to pull a lawnmower than to push it.
When the batsman hits the ball, the ball will have a large momentum. When he moves his hands backwards the time of impact is increased contact, so the force is reduced.",,,,,,,,
"27. A helicopter of mass 1000 kg rises with a vertical acceleration of 15 ms^(-2). The crew and the passengers weigh 300 kg. Give the magnitude and direction of
(a) force on the floor by the crew and passengers
(b) the action of the rotor of the helicopter on surrounding air
(c) force on the helicopter due to the surrounding air","Mass of helicopter = 1000 kg
Crew and passengers weight = 300 kg
Vertical acceleration, a = 15 ms^(-2) and g = 10 ms^(-2)
The total mass of the system, mi = 1000 + 300 = 1300 Kg
(a) Force on the floor of the helicopter by the crew and passengers
R – mg = ma
= m (g+a)
= m (g + a) = 300 (10 + 15) N = 7500 N
(b) Action of the rotor of the helicopter on surrounding air is due to the mass of the helicopter and the passengers.
R’ – mig = mia
R’ = mi (g+a)
= 1300 x (10 + 15) = 32500 N
This force acts vertically downwards
(c) Force on the helicopter due to the surrounding air is the reaction of the force applied by the rotor on the air. As action and reaction are equal and opposite, therefore, the force of reaction, F = 32500 N. This force acts vertically upwards.",,,,,,,,
"28. A stream of water flowing horizontally with a speed of 15 m/s pushes out of a tube of cross-sectional area 10^(-2) m^2 and hits at a vertical wall nearby. What is the force exerted on the wall by the impact of water, assuming that it does not rebound?
","Speed of water flowing, v= 15 m/s
Cross-sectional area of the tube, A= 10^(-2) m^2
In one second, the distance travelled is equal to the velocity v
Density of water, ρ = 1000 kgm^(-3)
Mass of water hitting the wall per second = ρ x A x v
= 1000 kgm-3 x 10-2 m2 x 15 m/s = 150 kg/s
Force exerted on the wall because of the impact of water = momentum loss of water per second
= Mass x velocity
= 150 kg/s x 15 m/s = 2250 N",,,,,,,,
"29. Ten one rupee coins are put on top of one another on a table. Each coin has a mass of m kg. Give the magnitude and direction of
(a) the force on the 7th coin (counted from the bottom) due to all coins above it
(b) the force on the 7th coin by the eighth coin 
(c) the reaction of the sixth coin on the seventh coin","(a) The force on the 7th coin is due to the weight of the three coins kept above it.
Weight of one coin is mg. So the weight of three coins is 3mg
Force exerted on the 7th coin is (3mg)N and the force acts vertically downwards.
(b) The eighth coin is already under the weight of two coins above it and it has its own weight too. Hence, the force on the 7th coin due to the 8th coin will be the same as the force on the 7th coin by the three coins above it.
Therefore, the force on the 7th coin by the 8th coin is (3mg)N and the force act vertically downwards.
(c) The sixth coin is under the weight of four coins above it and experiences a downward force due to the four coins.
The total downward force on the 6th coin is 4mg
Applying Newton’s third law of motion, the 6th coin will exert a reaction force upwards. Therefore, the force exerted by the 6th coin on the 7th coin is equal to 4mg and acts in the upward direction.",,,,,,,,
30. An aircraft executes a horizontal loop at a speed of 720 km/h with its wings banked at 15°. What is the radius of the loop?,"The speed of the aircraft executing the horizontal loop = 720 km/h = 720 x (5/18) = 200 m/s
The angle of banking = 15°
tanθ= v2/rg , we have
r = v2/g(tanθ) = (200 x 200)/(10 x tan 150) = (200 x 200)/ (10 x 0.2679)= 14931 m",,,,,,,,
31. A train runs along an unbanked circular track of radius of 30 m at a speed of 54 km/h. The mass of the train is 10^6 kg. What provides the centripetal force required for this purpose the engine or the rails? What is the angle of banking required to prevent wearing out of the rail?,"Radius of the track = 30 m
Velocity of the train = 54 km/h = 54 x (5/18) = 15 m/s
Mass of the train = 10^6kg
The required centripetal force is provided by the force of lateral friction due to the rails on the wheels of the train
The angle of banking required to prevent wearing out of the rails
tanθ= v2/rg = (15 x 15)/ (30 x 10) = 0.75
θ = tan^(-1) (0.75) = 37degrees",,,,,,,,
35. A block of mass 15 kg is placed on a long trolley. The coefficient of static friction between the block and the trolley is 0.18. The trolley accelerates from rest with 0.5 ms^(-2) for 20 s and then moves with uniform velocity. Discuss the motion of the block as viewed by (a) a stationary observer on the ground (b) an observer moving with the trolley.,"Mass of the block = 15 kg
Coefficient of static friction between the block and the trolley, p= 0.18
Acceleration of the trolley = 0.5 m/s^2
(a) Force experienced by block, F = ma = 15 x 0.5 = 7.5 N, this force acts in the direction of motion of the trolley
Force of friction, Ff= p mg = 0.18 x 15 x 10 = 27 N
Force experienced by the block will be less than the friction. So the block will not move. So, for a stationary observer on the ground, the block will be stationary.
(b) The observer moving with the trolley has an accelerated motion. He forms a non-inertial frame in which Newton’s laws of motion are not applicable. The trolley will be at rest for the observer moving with the trolley",,,,,,,,
"37. A disc revolves with a speed of 33⅓ rpm and has a radius of 15 cm. Two coins are placed at 4 cm and 14 cm away from the centre of the record. If the coefficient of friction between the coins and record is 0.15, which of the coins will revolve with the record?","Speed of revolution of the disc = 33 ⅓ rpm= 100/3 rpm= 100/ (3 x 60) rps = 5/9 rps
ω = 2πv = 2 x (22/7)x (5/9) = 220/63 rad/s
The coins revolve with the disc, the centripetal force is provided by the frictional force mv2/r ≤ μmg ——–(1)
As v = rω, equation (1) becomes mrω2/r ≤ μmg
r ≤ μg/ω^2 = (0.15 x 10)/(220/63)^2 = 12 cm
For coin A, r = 4 cm
The condition (r≤ 12) is satisfied for coin placed at 4cm, so coin A will revolve with the disc
For coin B, r = 14 cm
The condition (r≤ 12) is not satisfied for the coin placed at 14cm, so coin B will not revolve with the disc.",,,,,,,,
"38. You may have seen in a circus a motorcyclist driving in vertical loops inside a ‘death well’ (a hollow spherical chamber with holes, so the spectators can watch from outside). Explain clearly why the motorcyclist does not drop down when he is at the uppermost point, with no support from below. What is the minimum speed required at the uppermost position to perform a vertical loop if the radius of the chamber is 25 m?","When the motorcyclist is at the uppermost point of the death-well, the normal reaction R on the motorcyclist by the ceiling of the chamber acts downwards. His weight mg also acts downwards. The outward centrifugal force acting on the motorcyclist is balanced by these two forces.
R + mg = mv^2/r ———(1)
Here, v is the velocity of the motorcyclist
m is the mass of the motorcyclist and the motorcycle
Because of the balance between the forces, the motorcyclist does not fall
The minimum speed required at the uppermost position to perform a vertical loop is given by the equation (1) when R = 0
mg = m(Vmin)^2/r
(Vmin)^2 = gr
Vmin = √(10 x 25) = 15.8 m/s",,,,,,,,
39. A 70 kg man stands in contact against the inner wall of a hollow cylindrical drum of radius 3 m rotating about its vertical axis with 200 rev/min. The coefficient of friction between the wall and his clothing is 0.15. What is the minimum rotational speed of the cylinder to enable the man to remain stuck to the wall (without falling) when the floor is suddenly removed?,"Mass of the man, m = 70 kg
Radius of the drum, r = 3 m
Coefficient of friction between the wall and his clothing, μ = 0.15
Number of revolution of hollow cylindrical drum = 200 rev/min= 200/60 = 10/3 rev/s
The centripetal force required is provided by the normal N of the wall on the man
N = mv^2/R = mω^2R
When the floor revolves, the man sticks to the wall of the drum. Hence, the weight of the man (mg) acting downward is balanced by the frictional force acting vertically upwards.
The man will not fall if mg ≤ limiting frictional force fe (μN)
mg ≤ μN
mg ≤ μ (mω^2R)
ω^2 ≥ g/Rμ
Therefore, for minimum rotational speed of the cylinder
ω^2 = g/Rμ = 10/(0.15 x 3) = 22. 2
ω =√22.2 = 4.7 rad/s",,,,,,,,
"1.The sign of work done by a force on a body is important to understand. State carefully if the following quantities are positive or negative.
(a) Work done by a man in lifting a bucket out of a well by means of a rope tied to the bucket.(b) Work done by the gravitational force in the above case.(c) Work done by friction on a body sliding down an inclined plane.(d) Work done by an applied force on a body moving on a rough horizontal plane with uniformvelocity.(e) Work done by the resistive force of air on a vibrating pendulum in bringing it to rest.
","(a) It is clear that the direction of both the force and the displacement is the same and thus, the work done on it is positive.
(b) It can be noted that the displacement of the object is in an upward direction, whereas the force due to gravity is in a downward direction. Hence, the work done is negative.
(c) It can be observed that the direction of motion of the object is opposite to the direction of the frictional force. So, the work done is negative.
(d) The object which is moving in a rough horizontal plane faces the frictional force, which is opposite to the direction of the motion. To maintain a uniform velocity, a uniform force is applied to the object. So, the motion of the object and the applied force are in the same direction. Thus, the work done is positive.
(e) It is noted that the direction of the bob and the resistive force of air which is acting on it are in opposite directions. Thus, the work done is negative.",,,,,,,,
2. A body of mass 2 kg initially at rest moves under the action of an applied horizontal force of 7 N on a table with the coefficient of kinetic friction = 0.1. Compute the(a) work done by the applied force in 10 s.(b) work done by friction in 10 s.(c) work done by the net force on the body in 10 s.(d) change in kinetic energy of the body in 10 s.,"The mass of the body = 2 kg
Horizontal force applied = 7 N
Coefficient of kinetic friction = 0.1
Acceleration produced by the applied force, a1= F/m = 7/2 = 3.5 m/s^2
Force of friction, f = μR = μmg = 0.1 x 2 x 9.8
Retardation produced by friction, a2 = -f/m = -196/2 = -0.98
Net acceleration with which the body moves,
a = a1 + a2 =  3.5 – 9.8 = 2.5
Distance moved by the body in 10 seconds,
s = ut + (1/2)at^2 = 0 + (1/2) x 2.52 x (10)^2= 126 m
(a) The time at which work has to be determined is t = 10 s
Work = Force x displacement
= 7 x 126 = 882 J
(b) Work done by the friction in 10 s
W = -f x s = -1.96 x 126
(c) Work done by the net force in 10 s
W = (F – f)s = (7 – 1.96) 126 = 635 J
(d) From v = u + at
v = 0 + 2.52 x 10 = 25.2 m/s
Final Kinetic Energy = (1/2) mv^2 = (1/2) x 2 x (25.2)^2 = 635 J
Initial Kinetic Energy= (1/2) mu^2 = 0
Change in Kinetic energy = 635 – 0 = 635 J
The work done by the net force is equal to the final kinetic energy.",,,,,,,,
The casing of a rocket in flight burns up due to friction. At whose expense is the heat energy required for burning obtained? The rocket or the atmosphere?,"When the casing burns up due to friction, the rocket’s mass gets reduced.
As per the law of conservation of energy:
Total energy = kinetic energy + potential energy
= mgh + \(\begin{array}{l}\frac{1}{2}\end{array} \) mv^2
There will be a drop in total energy due to the reduction in the mass of the rocket. Hence, the energy which is needed for the burning of the casing is obtained from the rocket.",,,,,,,,
Comets move around the sun in highly elliptical orbits. The gravitational force on the comet due to the sun is not normal to the comet’s velocity in general. Yet the work done by the gravitational force over every complete orbit of the comet is zero. Why?,"The force due to gravity is a conservative force. The work done on a closed path by the conservative force is zero. Hence, for every complete orbit of the comet, the work done by the gravitational force is zero.",,,,,,,,
"An artificial satellite orbiting the earth in a very thin atmosphere loses its energy gradually due to dissipation against atmospheric resistance, however small. Why, then, does its speed increase progressively as it comes closer and closer to the earth? ","The potential energy of the satellite revolving around the Earth decreases as it approaches the Earth, and since the system’s total energy should remain constant, the kinetic energy increases. Thus, the satellite’s velocity increases. In spite of this, the total energy of the system is reduced by a fraction due to atmospheric friction.",,,,,,,,
"When a conservative force does positive work on a body, the potential energy of the body increases/decreases/remains unaltered.","Decreases
When a body is displaced in the direction of the force, positive work is done on the body by the conservative force, due to which the body moves to the centre of force. Thus, the separation between the two decreases and the potential energy of the body decreases.",,,,,,,,
Work done by a body against friction always results in a loss of its kinetic/potential energy.,"Kinetic energy
The velocity of the body is reduced when the work done is in the direction opposite to that of friction. Thus, the kinetic energy decreases.",,,,,,,,
The rate of change of total momentum of a many-particle system is proportional to the external force/sum of the internal forces on the system,"External force
Change in momentum cannot be produced by internal forces, irrespective of their directions. Thus, the change in total momentum is proportional to the external force on the system.",,,,,,,,
"In an inelastic collision of two bodies, the quantities which do not change after the collision are the total kinetic energy/total linear momentum/total energy of the system of two bodies","Total linear momentum
Irrespective of the elastic collision or an inelastic collision, the total linear momentum remains the same.",,,,,,,,
"9. A body is initially at rest. It undergoes one-dimensional motion with constant acceleration. The power delivered to it at time t is proportional to
(i) \(\begin{array}{l}t^{\frac{1}{2}}\end{array} \)
(ii) \(\begin{array}{l}t^{\frac{3}{2}}\end{array} \)
(iii) t^2 
(iv) t","Body mass = m
Acceleration = a
According to Newton’s second law of motion,
F = ma (constant)
We know that a = \(\begin{array}{l}\frac{dv}{dt}\end{array} \) = constant
dv = dt x constant
On integrating,
v = \(\begin{array}{l}\alpha\end{array} \)t \(\begin{array}{l}\rightarrow\end{array} \) 1
Where, \(\begin{array}{l}\alpha\end{array} \) is also a constant
v \(\begin{array}{l}\propto\end{array} \) t \(\begin{array}{l}\rightarrow\end{array} \) 2
The relation of power is given by,
P = F.v
From equations 1 & 2,
P \(\begin{array}{l}\propto\end{array} \) t
Thus, from the above, we conclude that power is proportional to time.",,,,,,,,
"10. A body is moving unidirectionally under the influence of a source of constant power. Its displacement in time t is proportional to
(i) \(\begin{array}{l}t^{\frac{1}{2}}\end{array} \)
(ii) \(\begin{array}{l}t^{\frac{3}{2}}\end{array} \)
(iii) t^2 
(iv) t","We know that power is given by,
P = Fv
= mav = mv\(\begin{array}{l}\frac{dv}{dt}\end{array} \)

= k (constant)
vdv = \(\begin{array}{l}\frac{k}{m}\end{array} \) dt
On integration,
v = \(\begin{array}{l}\sqrt{\frac{2kt}{m}}\end{array} \)

To get the displacement,
v = \(\begin{array}{l}\frac{dx}{dt}\end{array} \) = \(\begin{array}{l}\sqrt{\frac{2k}{m}}\end{array} \) \(\begin{array}{l}t^{\frac{1}{2}}\end{array} \)

dx = \(\begin{array}{l}k{}'\end{array} \) \(\begin{array}{l}t^{\frac{1}{2}}\end{array} \) dt
where \(\begin{array}{l}k{}'\end{array} \) = \(\begin{array}{l}\sqrt{\frac{2k}{3}}\end{array} \)

x = \(\begin{array}{l}\frac{2}{3}\end{array} \) \(\begin{array}{l}k{}'\end{array} \) \(\begin{array}{l}t^{\frac{2}{3}}\end{array} \)

Hence, from the above equation it is shown that x \(\begin{array}{l}\propto\end{array} \) \(\begin{array}{l}t^{\frac{3}{2}}\end{array} \)
",,,,,,,,
"11.  A body constrained to move along the z-axis of a coordinate system is subject to a constant force F given by
\(\begin{array}{l}F =-\hat{i}+2\hat{j}+3\hat{k}\end{array} \) N
where i, j, k, are unit vectors along the x- y- and z-axis of the system, respectively. What is the work done by this force in moving the body at a distance of 4 m along the z-axis?","The body is displaced by 4 m along the z-axis.
 
Work done,
W = \(\begin{array}{l}\vec{F}.\vec{S} = (0\hat{i}+0\hat{j}+4\hat{k})(-\hat{i}+2\hat{j}+3\hat{k})\end{array} \)

= \(\begin{array}{l}12(\hat{k}.\hat{k})\end{array} \) J = 12 J",,,,,,,,
"12. An electron and a proton are detected in a cosmic ray experiment, the first with kinetic energy 10 keV, and the second with 100 keV. Which is faster, the electron or the proton? Obtain the ratio of their speeds. (electron mass = 9.11×10^(-31) kg, proton mass = 1.67×10^(–27) kg, 1 eV = 1.60 ×10^(–19) J)","Electron mass, m­e = 9.11 x 10^(-31) kg
Proton mass, mp = 1.67 x 10^(-27) kg
Electron’s kinetic energy
E­ke = 20 keV = 20 x 10^3 eV
= 20 x 10^3 x 1.60 x 10^(-19)
= 3.2 x 10^(-15) J
Proton’s kinetic energy
E­kp = 200 kev = 2 x 10^5 eV
= 3.2 x 10^(-14) J
To find the velocity of electron ve, kinetic energy is used.
Eke = \(\begin{array}{l}\frac{1}{2}\end{array} \) m\(\begin{array}{l}v_{e}^{2}\end{array} \)

Ve = \(\begin{array}{l}\sqrt{\frac{2\times E_{ke}}{m}}\end{array} \)

= \(\begin{array}{l}\sqrt{\frac{2\times 3.2\times 10^{-15}}{9.11\times 10^{-31}}}\end{array} \)

= 8.38 x 10^7 m/s
To find the velocity of proton vp, kinetic energy is used.
Ekp = \(\begin{array}{l}\frac{1}{2}\end{array} \) m \(\begin{array}{l}v_{p}^{2}\end{array} \)

vp =  \(\begin{array}{l}\sqrt{\frac{2\times E_{kp}}{m}}\end{array} \)

vp = \(\begin{array}{l}\sqrt{\frac{2\times 3.2\times 10^{-15}}{1.67\times 10^{-27}}}\end{array} \)

= 6.19 x 10^6 m/s
Thus, the electron moves faster when compared with the proton.
The speed ratios are \begin{array}{l}\frac{v_{e}}{v_{p}}\end{array} = \begin{array}{l}\frac{13.53}{1}\end{array}",,,,,,,,
"13. A raindrop of radius 2 mm falls from a height of 500 m above the ground. It falls with decreasing acceleration (due to the viscous resistance of the air) until, at half its original height, it attains its maximum (terminal) speed and moves with uniform speed thereafter. What is the work done by the gravitational force on the drop in the first and second half of its journey? What is the work done by the resistive force in the entire journey if its speed on reaching the ground is 10 ms^(-1)?","The radius of the drop  = 2 mm = 2 x 10^(-3) m
Height from which the raindrops fall, S=500 m
The density of water, ρ= 10^3 kg/ m^3
Mass of raindrop = volume of drop x density
m =(4/3)πr^3 x ρ =(4/3) x (22/7) x (2 x 10^(-3))^3 x 10^3 = 3.35 x 10^(-5) kg
The gravitational force experienced by the raindrop
F = mg
= (4/3) x (22/7)x (2 x 10^(-3))^3 x 10^3 x 9.8 N
The work done by gravity on the drop is
W = mg x s = 3.35 x 10^(-5) x 9.8 x 250 = 0.082 J
The work done on the drop in the second half of the journey will remain the same.
The total energy of the raindrop will be conserved during the motion.
Total energy at the top
E1= mgh = 3.35 x 10^(-5)  x 9.8 x 500 = 0.164 J
Due to resistive forces, the energy of the drop on reaching the ground
E2 = 1/2mv^2 = 1/2 x (10)^2 = 1.675 x 10^(-3)J
Work done by the resistive forces, W =E1 – E2 = 0.164 – 1.675 x 10^(-3) W
= 0.1623 J",,,,,,,,
14. A molecule in a gas container hits a horizontal wall with speed 200 m/s and angle 30° with the normal and rebounds with the same speed. Is momentum conserved in the collision? Is the collision elastic or inelastic?,"Momentum is always conserved for an elastic or inelastic collision.
The molecule approaches and rebounds at the same speed of 200 m/s.
u = v = 200 m s^(–1)
Therefore, Initial kinetic energy = (1/2) mu^2 = (1/2)m(200)^2
Final kinetic energy = (1/2) mv^2 = (1/2)m(200)^2 
Therefore, kinetic energy is also conserved",,,,,,,,
"15. A pump on the ground floor of a building can pump up water to fill a tank of volume 30 m^3 in 15 min. If the tank is 40 m above the ground, and the efficiency of the pump is 30%, how much electric power is consumed by the pump?","The volume of the tank= 30 m^3 
Time taken to fill the tank= 15 min = 15 x 60 = 900s
Height of the tank above the ground, h = 40 m
The efficiency of the pump, η= 30%
The density of water, ρ= 10^3 kg m^(-3)
The mass of water pumped, m = volume x density = 30 x 10^3 kg
Power consumed or output power p0utput = W/t = mgh/t
=(30 x 10^3 x 9.8 x 40)/900=13066 watt
Efficiency, η = Poutput/Pinput
Pinput  =  Poutput/η = 13066/(30/100) = 1306600/30
= 43553 W = 43.6 kW",,,,,,,,
"18. The bob of a pendulum is released from a horizontal position. If the length of the pendulum is 1.5 m, what is the speed with which the bob arrives at the lowermost point, given that it dissipated 5% of its initial energy against air resistance?","Length of the pendulum, l= 1.5 m
Potential of the bob at the horizontal position = mgh = mgl
The initial energy dissipated against air resistance when the bob moves from the horizontal position to the lowermost point= 5%
The total kinetic energy of the bob at the lowermost position = 95% of the total potential energy at the horizontal position
(1/2)mv^2 = (95/100) mgl
v^2 =2 [(95/100) x 9.8 x 1.5]

v^2 =2 ( 13.965) = 27.93
v = √27.93 = 5.28 m/s",,,,,,,,
"19. A trolley of mass 300 kg carrying a sandbag of 25 kg is moving uniformly with a speed of 27 km/h on a frictionless track. After a while, the sand starts leaking out of a hole on the floor of the trolley at the rate of0.05 kg s^(–1). What is the speed of the trolley after the entire sandbag is empty?","The sandbag is placed in the trolley that moves with a uniform velocity of 27 km/h. There is no external force acting system. Even if the sand starts leaking out of the bag, there will not be any external force acting on the system. So, the speed of the trolley will not change. It will be equal to 27 km/h.",,,,,,,,
20. A body of mass 0.5 kg travels in a straight line with velocity v =ax^(3/2) where a = 5 m^(–1/2) s^(–1). What is the work done by the net force during its displacement from x = 0 to x = 2 m?,"Mass of the body, m = 0.5 kg
Velocity of the body, v=ax^(3/2)
Here, a = 5 m^(-1/2) s^(-1).
Initial velocity at x = 0, v1 = a x 0 = 0
Final velocity at x = 2, v2 = a (2)^(3/2) = 5 x (2)^(3/2)
Work done by the system= increase in K.E of the body
= 1/2 m((v2)^2-(v1)^2) = 1/2 x 0.5[(5 x (2)^(3/2))^2 – 0]

= (1/2) x 0.5 x (25 x 8)=50 J",,,,,,,,
